epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.341,2.26736,4.69287,4.86771,1.96823,0.01184,0.322,0.02029,0.00726,0.00802,0.32464,0.01594,0.00608,2.01151,4.07626,4.14602,1.77003,2.307e-05,2.307e-05,2.307e-05
2,1115.7,1.90729,4.01495,3.59271,1.69733,0.90534,0.05556,0.04411,0.02461,0.87435,0.0291,0.00612,0.00154,1.64349,3.07352,4.78753,1.44864,5.27642e-05,5.27642e-05,5.27642e-05
3,1660.05,1.79344,3.44445,2.95205,1.61496,0.83254,0.05028,0.06157,0.04479,0.72291,0.00794,0.00142,0.00031,1.64785,2.89367,5.00865,1.38651,8.12402e-05,8.12402e-05,8.12402e-05
4,2206.81,1.6862,3.11886,2.66054,1.42927,0.55881,0.2886,0.14621,0.08911,0.72138,0.08006,0.06756,0.02423,1.68274,2.86035,3.92248,1.39025,0.000108498,0.000108498,0.000108498
5,2679.41,1.59561,2.91435,2.15498,1.34588,0.67374,0.28367,0.17474,0.09398,0.73284,0.06463,0.07619,0.02666,1.6896,2.88907,3.5161,1.39273,0.000134538,0.000134538,0.000134538
6,3210.88,1.48181,2.67535,2.18804,1.34424,0.87365,0.20171,0.27262,0.16455,0.54257,0.0885,0.07309,0.034,1.59122,3.07162,3.72586,1.37014,0.00015936,0.00015936,0.00015936
7,3715.9,1.61306,3.02269,2.15847,1.43124,0.74506,0.31519,0.30323,0.17872,0.58018,0.09353,0.08101,0.03175,1.53015,3.19517,3.67612,1.34645,0.000182964,0.000182964,0.000182964
8,4279.36,1.489,2.72966,2.11165,1.30369,0.78876,0.28045,0.31847,0.19488,0.75672,0.25134,0.27862,0.11684,1.61855,3.18365,2.6736,1.42521,0.000205349,0.000205349,0.000205349
9,4770.04,1.51584,2.72342,2.04399,1.35416,0.66699,0.28739,0.26507,0.13923,0.64103,0.2576,0.21908,0.09754,1.60115,2.91545,2.56373,1.39002,0.000226517,0.000226517,0.000226517
10,5318.23,1.60354,2.69175,1.81852,1.36399,0.74101,0.23643,0.26124,0.13365,0.7096,0.20204,0.21001,0.07524,1.57608,2.95333,3.22854,1.40127,0.000246466,0.000246466,0.000246466
11,5848.77,1.59314,2.65919,1.97576,1.29365,0.70605,0.29845,0.33102,0.18121,0.66359,0.2867,0.236,0.09525,1.53577,2.91618,3.25281,1.36763,0.000265197,0.000265197,0.000265197
12,6395.69,1.53334,2.52351,1.94413,1.36985,0.73855,0.2904,0.36589,0.18195,0.71322,0.27734,0.27072,0.096,1.62157,2.96385,3.46302,1.44048,0.000282711,0.000282711,0.000282711
13,7038.39,1.43268,2.49827,1.89796,1.32636,0.78422,0.2797,0.34659,0.17698,0.74578,0.21441,0.29786,0.09701,1.67029,2.9911,3.05899,1.51841,0.000299006,0.000299006,0.000299006
14,7599.17,1.45967,2.44394,1.69393,1.29871,0.55907,0.27872,0.4003,0.18382,0.53744,0.22886,0.29455,0.08777,1.74519,2.9739,2.53028,1.58774,0.000314083,0.000314083,0.000314083
15,8252.55,1.44221,2.4032,1.63417,1.23766,0.77038,0.25409,0.44916,0.22867,0.83239,0.18851,0.28947,0.11649,1.64265,3.17685,2.51457,1.46681,0.000327942,0.000327942,0.000327942
16,8902.83,1.42601,2.39473,1.693,1.25616,0.53103,0.46606,0.39535,0.19081,0.79094,0.1965,0.26866,0.10347,1.68412,3.34981,2.47571,1.46301,0.000340582,0.000340582,0.000340582
17,9483.69,1.49975,2.50033,1.60503,1.24048,0.59216,0.33532,0.33179,0.17484,0.7719,0.18745,0.29478,0.0929,1.76609,3.70906,2.41586,1.50474,0.000352005,0.000352005,0.000352005
18,10155.3,1.48189,2.45848,1.62443,1.23142,0.32963,0.01852,0.01402,0.00654,0.30824,0.00529,0.00194,0.00045,1.63241,3.38697,2.4964,1.4974,0.00036221,0.00036221,0.00036221
19,10843,1.48699,2.41614,1.57275,1.23893,0.36984,0.31391,0.28867,0.15747,0.83207,0.19803,0.24741,0.07953,1.69567,3.41441,2.83543,1.50302,0.000371196,0.000371196,0.000371196
20,11383.5,1.46846,2.32091,1.57179,1.27724,0.59722,0.28077,0.29878,0.15552,0.58349,0.25532,0.28132,0.08568,1.68637,3.55018,2.93494,1.48664,0.000378965,0.000378965,0.000378965
21,12029.6,1.39649,2.19241,1.44632,1.24964,0.77229,0.22978,0.17202,0.10056,0.75142,0.20862,0.13675,0.05879,1.66229,3.52003,3.7876,1.44741,0.000385515,0.000385515,0.000385515
22,12792.4,1.44477,2.2697,1.48422,1.28668,0.34627,0.31644,0.16876,0.09274,0.48396,0.2106,0.14105,0.06626,1.67541,3.31129,3.45336,1.40448,0.000390847,0.000390847,0.000390847
23,13446.6,1.32926,2.14234,1.43186,1.16745,0.55484,0.30143,0.26551,0.1611,0.62955,0.29921,0.28692,0.07657,1.58696,3.52143,2.93824,1.38157,0.000394961,0.000394961,0.000394961
24,14120.3,1.46972,2.30915,1.58605,1.30271,0.72661,0.28636,0.3162,0.18954,0.67483,0.21023,0.23573,0.08551,1.66467,3.40904,2.67677,1.45688,0.000397858,0.000397858,0.000397858
25,14838,1.42943,2.31327,1.44158,1.22363,0.6414,0.14724,0.18709,0.12492,0.78246,0.10844,0.15501,0.06882,1.70806,3.26065,2.84729,1.50458,0.000399535,0.000399535,0.000399535
26,15443.3,1.43596,2.3214,1.39422,1.2229,0.87205,0.22295,0.29444,0.18187,0.84266,0.19876,0.26541,0.08061,1.70259,3.19497,2.78037,1.49906,0.000388345,0.000388345,0.000388345
27,16066.1,1.39124,2.15325,1.36859,1.21137,0.59778,0.29213,0.29858,0.19989,0.5563,0.24157,0.26111,0.10071,1.73601,3.29897,2.39418,1.48816,0.000373119,0.000373119,0.000373119
28,16775.1,1.37608,2.12624,1.32186,1.19568,0.64641,0.28745,0.32826,0.21206,0.6197,0.26893,0.28374,0.09296,1.76044,3.34201,2.23374,1.54648,0.000357893,0.000357893,0.000357893
29,17509.9,1.34737,2.08926,1.23422,1.18788,0.73755,0.25938,0.31433,0.20292,0.69129,0.23293,0.28168,0.09741,1.77695,3.30738,2.23556,1.5938,0.000342666,0.000342666,0.000342666
30,18201.6,1.32331,2.20155,1.22466,1.15447,0.75837,0.26598,0.32142,0.2128,0.52441,0.19361,0.21812,0.08522,1.79549,3.54113,2.2263,1.58019,0.00032744,0.00032744,0.00032744
31,18774.9,1.30661,2.09876,1.16873,1.19063,0.40958,0.33983,0.32787,0.21932,0.38688,0.34565,0.29534,0.10719,1.77795,3.45047,2.04723,1.58947,0.000312214,0.000312214,0.000312214
32,19506.5,1.26428,1.99392,1.12004,1.16713,0.75626,0.23655,0.30574,0.20754,0.33347,0.29387,0.26054,0.09909,1.80011,3.40815,1.9528,1.62897,0.000296988,0.000296988,0.000296988
33,20058,1.30536,1.96765,1.2503,1.19419,0.79198,0.30862,0.32689,0.21017,0.72047,0.24565,0.28421,0.12101,1.83991,3.42886,1.85814,1.61922,0.000281762,0.000281762,0.000281762
34,20713.6,1.26292,2.02142,1.24564,1.20988,0.79724,0.27887,0.33932,0.22333,0.75085,0.23914,0.30352,0.12921,1.84023,3.55616,2.00326,1.6392,0.000266535,0.000266535,0.000266535
35,21397.1,1.37926,2.06922,1.33563,1.21365,0.73911,0.27821,0.33721,0.22166,0.55218,0.3322,0.39094,0.15157,1.86559,3.66792,2.06643,1.64313,0.000251309,0.000251309,0.000251309
36,22007.6,1.31592,1.93657,1.1199,1.15708,0.64511,0.34706,0.42046,0.22183,0.60176,0.31708,0.40691,0.1478,1.87819,3.7317,2.04933,1.62521,0.000236083,0.000236083,0.000236083
37,22643.7,1.36383,1.93854,1.24238,1.21886,0.69,0.38005,0.42808,0.22398,0.60545,0.31444,0.38401,0.1416,1.86311,3.73594,2.02265,1.66479,0.000220857,0.000220857,0.000220857
38,23242.9,1.17238,1.91232,1.1011,1.11255,0.68847,0.38005,0.4205,0.23456,0.63467,0.32766,0.38769,0.14826,1.82368,3.61834,1.93359,1.62714,0.000205631,0.000205631,0.000205631
39,23946.3,1.16766,1.80425,1.04514,1.14973,0.68037,0.38798,0.41038,0.25538,0.6313,0.33031,0.38304,0.16211,1.747,3.44463,1.85949,1.57033,0.000190404,0.000190404,0.000190404
40,24621.7,1.3331,1.96828,1.1364,1.15997,0.60182,0.39579,0.42281,0.28052,0.56377,0.33296,0.37568,0.18576,1.74148,3.40861,1.86803,1.57647,0.000175178,0.000175178,0.000175178
41,24987.2,1.18733,1.86897,1.12621,1.10529,0.63969,0.39592,0.41669,0.26969,0.79629,0.27163,0.38786,0.17488,1.73232,3.34459,1.9099,1.54333,0.000159952,0.000159952,0.000159952
42,25254.7,1.22999,1.76063,1.20244,1.09576,0.74587,0.31126,0.4168,0.2656,0.76381,0.27028,0.38657,0.16064,1.73311,3.26045,1.92958,1.54957,0.000144726,0.000144726,0.000144726
43,25488.3,1.23653,1.82837,1.13901,1.1534,0.75446,0.30667,0.38073,0.24463,0.74706,0.26237,0.35053,0.14855,1.74432,3.19618,1.94519,1.56273,0.0001295,0.0001295,0.0001295
44,25677.3,1.12467,1.73374,1.02803,1.07249,0.75196,0.30171,0.36746,0.24049,0.71656,0.23286,0.27327,0.13552,1.73264,3.13563,1.93172,1.54323,0.000114273,0.000114273,0.000114273
45,25914.7,1.12955,1.65264,0.98929,1.07067,0.76363,0.29822,0.35219,0.23746,0.73366,0.23816,0.27102,0.13982,1.73154,3.0943,1.88309,1.54463,9.90472e-05,9.90472e-05,9.90472e-05
46,26134,1.16436,1.67712,1.09068,1.13124,0.7742,0.30183,0.35374,0.23627,0.91495,0.23333,0.27951,0.14818,1.74423,3.0855,1.87655,1.55057,8.3821e-05,8.3821e-05,8.3821e-05
47,26350.5,1.19427,1.76335,1.05899,1.08442,0.78684,0.29339,0.37871,0.25978,0.74187,0.24721,0.34244,0.15261,1.73181,3.05867,1.84776,1.53851,6.85948e-05,6.85948e-05,6.85948e-05
48,26579.2,1.15927,1.6846,1.03683,1.14031,0.77831,0.29328,0.38081,0.26147,0.90463,0.24229,0.36302,0.17284,1.69975,3.04898,1.82845,1.5139,5.33686e-05,5.33686e-05,5.33686e-05
49,26797.9,1.09584,1.62133,0.91331,1.14517,0.93755,0.26396,0.37994,0.2617,0.90697,0.24506,0.36323,0.16467,1.68994,3.05753,1.82512,1.50984,3.81424e-05,3.81424e-05,3.81424e-05
50,27047.1,1.07262,1.55069,0.94738,1.0673,0.95149,0.26152,0.38523,0.26079,0.91319,0.24338,0.36451,0.16486,1.69218,3.0546,1.81483,1.5037,2.29162e-05,2.29162e-05,2.29162e-05
